Lens_Vector,Smile_Vector,Moustach_Vector,Male_Female_Vector,Young_Old_Vector
-0.022137463,-0.005766529,0.015039867,-0.011217729,0.071283065
-0.015285026,-0.038792558,0.1073522,-0.041278552,0.06417927
0.046686504,0.03121433,-0.04407007,-0.016897917,-0.011292751
0.009717679,-0.045767214,0.03705789,0.026833737,-0.014053275
-0.008509382,0.0071102506,0.047028873,0.025974438,-0.010880028
0.029580018,0.020486776,0.008452119,0.008042187,0.044242147
0.03895112,-0.029357724,0.02778859,-0.036511313,-0.064994074
-0.037453778,-0.10670109,-0.054650307,-0.017499201,0.04053977
-0.0029429737,0.024608005,-0.0018498488,-0.036013722,0.06453289
-0.04122784,0.030923788,0.0063107684,-0.02284506,0.06511004
0.012195874,0.018235207,0.009413261,-0.006837528,0.024468958
-0.0239387,0.09814496,-0.04109365,-0.030544784,-0.14486694
-0.04027867,-0.008940893,-0.0029740292,-0.02332222,0.024754735
-0.038480654,0.010714965,0.015308662,-0.05506222,-0.028353166
0.016695397,-0.020078566,-0.016675733,0.016554423,-0.019186195
0.030403042,-0.04661114,0.0018177256,-0.0054697935,-0.051027693
-0.040472526,0.0685506,-0.016909825,-0.06304406,0.050151758
-0.0024146633,-0.016012553,0.0037582829,0.009680709,-0.0094432095
0.054687154,0.0065675266,0.012240084,-0.030602304,-0.03032709
0.10052187,0.043428082,-0.05977519,-0.0754119,-0.061764047
0.0027628709,0.017543655,-0.013779007,-0.012524736,-0.01500272
-0.0052266438,0.029727705,0.024933346,-0.021348197,0.10655323
0.048791744,-0.0033240623,-0.014446536,0.06385391,-0.045131426
0.013605269,0.047662094,-0.038457282,0.028048925,-0.0135277845
0.034286298,-0.014900407,0.063810386,-0.05557376,-0.09102731
-0.09299543,0.030002583,-0.01865921,-0.025379367,0.06471466
0.053707443,0.05801218,-0.0812923,-0.02185274,-0.011575187
0.035159238,-0.035780184,0.07182236,-0.040188286,-0.1024971
-0.036815953,-0.019145679,0.05501299,0.015845079,0.06985396
-0.029531064,-0.09756679,-0.009520493,0.021069882,-0.07475389
0.027504157,-0.038990147,0.039628997,-0.051558148,-0.0011359013
-0.08465078,-0.036230166,-0.0658998,-0.041526128,0.044518534
-0.010201225,0.18278538,0.15224299,-0.2665558,0.062878385
-0.06469581,-0.043923028,-0.004905604,0.032466367,0.19771051
0.020438178,0.006294278,-0.012252176,-0.052625485,0.048930265
0.014054414,0.10055761,0.16702923,-0.14701238,0.03185675
-0.03429163,-0.04188589,-0.10993756,-0.11235881,0.07797736
0.015429214,0.043764085,-0.010349393,0.00402275,-0.011079154
-0.015034609,0.044371232,0.031889215,-0.0968836,-0.028980035
-0.0446868,-0.048980527,0.06818823,-0.05321507,0.14276212
-0.035418898,0.052394167,0.084029645,0.0069242865,-0.026629664
-0.011295997,-0.018000588,0.03005494,0.09973962,0.15910283
-0.0020712763,0.048643935,0.013893612,0.0028301366,0.01409772
0.040869407,-0.006325597,-0.03201128,0.00035697734,-0.035478614
-0.008682049,-0.017948868,0.026125357,0.011113597,0.019177113
-0.023942528,-0.0021985732,0.013372742,0.03967161,0.05631665
-0.097859845,-0.02094112,-0.0040156674,-0.0018219287,-0.0702361
-0.027714994,-0.041484017,-0.026719715,0.022723997,-0.02010718
0.05566077,0.058392074,-0.024867242,0.10380055,0.007191874
0.0040157307,-0.034343354,0.0070171263,-0.0028162757,0.049752075
0.050772883,0.060304604,-0.07918635,-0.03259177,0.02200647
-0.049642906,0.06477825,-0.044180974,0.029423691,-0.05650505
0.00067442283,-0.0035676882,-0.00518864,-0.09880072,-0.05514047
-0.0065361625,0.004111504,0.015712846,0.024851307,0.0326026
0.13015294,0.06818478,0.11714852,0.04235108,-0.18384707
-0.03723989,-0.057085376,0.0035658535,-0.08611567,0.03291411
-0.030789288,0.008023962,0.11612862,-0.15527056,-0.13297996
-0.02223431,-0.04769826,-0.0097859185,-0.04244932,-0.0061974665
-0.015758414,0.0052101566,-0.005855355,-0.004219735,0.0019753892
0.0017730575,-0.051791698,0.060109414,0.056085743,-0.02702105
0.035945967,-0.0117509775,0.036412492,0.13810551,-0.15995957
-0.08502093,0.019809008,0.056505803,-0.076878995,0.09243641
-0.042268876,0.010346802,0.13246304,-0.01434263,0.022879478
0.01623389,0.045190286,-0.017121002,0.014060423,-0.06876093
-0.036617495,0.01016271,-0.012680078,0.050546966,0.012037229
-0.025385978,0.015133617,-0.09047035,-0.069294244,0.08662072
0.03374117,0.009232169,0.05469219,0.027368383,0.004419815
-0.092823654,-0.0022271313,-0.062083617,-0.036475632,-0.042787373
0.011295186,0.0049694628,0.025356637,-0.02836471,-0.056433756
-0.06006646,0.0033796113,0.021311516,-0.030978631,0.02103843
0.0059310687,-0.014790045,0.017589616,-0.031180907,0.023467707
-0.041275848,-0.06198132,-0.050763693,-0.02277612,0.07892862
-0.005226301,0.01906987,0.08416647,0.01956997,0.021756109
-0.012978926,-0.0062331725,-0.034614768,-0.02620985,0.06584367
-0.054735288,0.03272777,0.0025376268,0.00042665564,0.08888881
-0.016715802,-0.08404749,0.012612136,-0.035787046,-0.005389683
0.013843745,-0.014411291,-0.043137245,-0.002481034,0.03964048
-0.013198517,-0.023899114,0.057428077,0.0021327697,-0.008657176
-0.016522232,-0.028611794,-0.0068365075,0.16888012,-0.027945653
0.040278617,0.011922451,-0.030125404,-0.011243264,-0.0041819206
0.028023219,0.049857564,0.013337929,0.0010419069,-0.032348912
-0.051760234,-0.021161025,0.009385004,-0.055828735,0.011497715
0.031148441,-0.040716242,-0.08296977,0.16703407,-0.05721357
-0.024873711,-0.02762238,-0.049681854,-0.06483601,-0.028872766
-0.0071526906,0.016741127,0.019096252,0.030325228,-0.020898627
0.060974628,-0.01522821,0.043674577,0.0028781518,-0.07348113
-0.004941576,-0.017294655,0.058342587,0.033488177,-0.116939776
-0.007885899,0.009850988,0.08526635,0.017844945,0.047665454
0.022184988,-0.03429887,-0.038785934,0.026220758,-0.06879112
0.012833176,0.057436783,-0.0048327874,0.018888034,-0.06947073
0.024635734,-0.0009877961,-0.0917001,-0.03371914,0.009114084
-0.03995324,-0.03345886,-0.124979444,0.15474667,0.22635865
-0.042624835,-0.0045344103,-0.0791355,-0.062419415,-0.0069178296
-0.011041924,0.049586598,0.106636085,-0.23313653,-0.05318051
-0.011145932,0.016585406,-0.027189525,0.042893805,-0.00912368
0.01032394,-0.0010387856,-0.03550716,-0.019900506,-0.080478586
0.07002827,0.04603794,0.018482048,0.041646335,0.04013049
-0.007968709,-0.0032291356,0.032754406,0.011462247,-0.036987595
0.07807283,-0.037692092,-0.03647689,0.012524292,-0.042013597
-0.0008205306,-0.054832812,0.059616167,-0.050042808,-0.09827267
0.030986547,0.053678636,0.1714478,-0.059926555,0.0438972
-0.0132046845,-0.09739883,0.041483626,-0.028167427,-0.07955848
0.011354931,-0.028926691,-0.038907643,-0.01786531,-0.17974234
0.037977934,0.03138758,-0.03752182,0.047334924,-0.04229574
0.01741224,0.02579048,-0.037011668,-0.004284017,0.006354314
0.05001156,0.026845621,-0.0630326,0.09380352,0.011465045
-0.003929628,0.023401786,0.047149878,-0.030635728,0.023288947
-0.0038787029,-0.010315841,-0.020688191,0.052967392,0.00059664436
-0.03620979,0.028481694,-0.02020039,0.047556892,0.010293925
-0.05649771,0.012621186,0.039467715,-0.04316728,0.024679745
5.186163e-05,-0.0076498147,0.03769682,-0.023641612,0.03884401
-0.005839262,0.0030278629,0.03075112,-5.7025813e-05,-0.0051727165
0.0043912623,-0.013739747,0.08610323,0.046725053,0.045665346
-0.0049441494,-0.04884186,0.046625506,-0.0022994666,-0.038859468
-0.05112487,-0.05597194,0.044292778,0.008682499,0.021548128
0.0103663895,0.0055258786,-0.0021218052,0.01810449,0.01625665
-0.014369918,-0.008813937,0.0319743,0.00701531,-0.0014248656
-0.11441594,0.23323251,-0.30916867,-0.45368195,0.115995035
-0.07166537,0.02722859,0.0003732976,-0.027184762,-0.0030625686
0.01910546,0.00176423,0.02266555,0.005969499,-0.017499873
-0.020579614,0.017062765,0.01280744,0.0028511677,-0.024499625
-0.014385872,0.058319785,0.03258226,0.062937565,-0.12292365
-0.027495127,0.013327326,0.016297556,0.0435958,0.0031538885
-0.030218039,-0.06621961,0.12749797,0.025828972,0.023860358
0.015511939,0.011929199,-0.015735794,0.042855404,0.07786742
-0.035593867,-0.03211388,0.026829554,-0.07339873,0.052484397
-0.06868576,-0.04082601,0.10037322,-0.060372554,0.14597566
-0.00942399,0.041144773,0.014841634,-0.01790779,0.10343127
-0.0054323003,0.021252071,0.0052803075,-0.01747287,0.002576013
-0.019573571,-0.021273442,-0.06426378,0.013950467,-0.13790326
-0.052067567,-0.0069618374,-0.0033401647,0.047130916,0.09962276
-0.07350788,-0.02509772,0.029416848,-0.015650986,-0.0061438037
0.013704576,-0.0021060063,-0.044165768,-0.026972758,0.014436377
0.0045785652,0.024145294,-0.03550454,0.022861358,0.02866648
0.014186552,0.047665715,-0.03097535,0.048716497,0.0040816497
-0.015871182,-0.011920952,0.118707895,0.10052262,0.062341977
-0.0054642675,-0.012841678,-0.01868143,-0.01992983,-0.0692081
-0.05461821,0.016660059,-0.013233704,-0.061753914,-0.050761852
-0.010150631,0.07286531,-0.07658649,0.017688643,0.043185607
-0.043478254,-0.07704301,-0.015310073,0.013971121,-0.014636593
-0.0037683158,-0.0045926026,-0.05089312,-0.006511978,0.0404818
-0.046360467,0.025440458,-0.10787627,-0.012490514,0.10137582
0.012845445,-0.012382385,0.0136838555,-0.025021719,0.01268068
0.15019417,-0.25192487,0.13808504,0.6962994,-0.20917279
-0.020062897,-0.02482142,-0.09519,0.0035532555,0.023013564
0.043414854,0.017864728,-0.06554245,-0.014667715,-0.11220904
-0.06961848,-0.03546156,-0.020590562,0.05097188,-0.08556105
0.032975607,-0.034190588,0.00047796965,0.028896779,-0.025295626
-0.056983043,0.013907435,0.028456315,0.023266455,0.0056499112
0.08309544,-0.047296267,0.20403022,-0.1394911,-0.27985978
-0.0012767529,-0.04135046,0.041698113,-0.017124524,-0.024550378
-0.0141315805,0.026762012,0.047451004,0.016883107,-0.009406454
0.06392864,0.05558384,0.0069194986,-0.14021169,-0.2527518
-0.046784572,-0.012026774,0.037140388,-0.032208547,0.032330018
-0.014707787,0.126782,-0.083770975,-0.1799963,0.032061383
-0.005703382,0.0055146655,0.02284424,0.015442101,0.008442106
-0.018295452,-0.051194374,0.0031462219,0.02006929,0.074279994
0.020327263,-0.006509861,-0.014506262,-0.019140828,0.012046255
0.0028329033,0.002769039,-0.03882543,0.043894894,0.0075185616
-0.032707117,-0.08476904,-0.05436153,-0.019307142,-0.030705122
-0.049083315,-0.036861375,0.12632433,-0.021018146,0.010879526
0.03360577,-0.033375166,-0.038933374,-0.003732577,0.039298303
0.027430862,0.04838737,0.07425779,-0.013106699,-0.077626765
0.014031602,-0.06601653,-0.018687807,-0.02071623,-0.015242376
0.04554364,0.020301858,-0.0057611633,0.002229564,-0.027407479
0.017282229,0.015658937,-0.023556855,0.0061853384,0.002436
-0.01657502,0.0051417416,0.038903665,0.063153476,0.13679823
-0.030448211,0.0024753893,0.0054010367,0.021570992,0.014222577
-0.0180405,0.009032196,0.03835025,0.03489198,0.06068692
0.033745624,-0.035008255,0.057022717,-0.02570946,-0.06509616
-0.064578936,-0.026141167,-0.028382175,-0.0009402735,0.10317154
-0.0011447482,-0.029991362,0.0062659234,-0.0029002689,0.053203084
0.04213395,0.01085958,-0.04974701,0.008094497,-0.017515734
-0.06836508,-0.05741256,0.035264164,-0.002635505,0.021171827
0.008086918,0.018733377,0.015208117,0.13924357,0.02720604
0.051024035,0.07279479,0.042685103,-0.095583,-0.08711028
-0.016583499,0.010942614,-0.01709712,-0.082617156,0.022445308
0.0006129956,-0.11218681,-0.14040717,0.19581717,0.01085579
-0.08368687,-0.11521681,-0.055104945,-0.12608679,0.084385835
0.0238341,-0.037008755,-0.009421164,0.045841143,-0.11908192
-0.028210472,0.0064979587,0.049319874,0.037887238,-0.026034966
-0.023638684,0.0030846745,0.03125988,0.044691205,0.0073685423
0.013981841,0.13071781,0.03581002,0.025799202,0.0013861209
-0.051784992,-0.052764744,0.060364816,-0.020326003,0.052959487
0.06488523,-0.036231145,0.038787574,0.048287302,-0.027380876
-0.03516487,-0.018780878,-0.0032162606,-0.034920115,0.063923314
-0.032063074,-0.06456667,-0.013763022,0.108342655,0.071029745
0.0151789915,0.0068983715,0.0284171,0.009177323,0.05151242
-0.006972258,0.045758497,-0.11635362,-0.061061267,-0.012256097
-0.040309682,-0.002507601,0.015041455,0.10165509,-0.106349796
0.029635217,0.00060604885,-0.016914617,-0.015524851,0.010549625
-0.02300887,0.0106718615,0.005414771,-0.04372769,-0.040838443
-0.026738152,0.070822105,-0.08822811,-0.09655642,0.10445017
-0.116074055,-0.023133153,-0.009545673,0.002236032,0.071101226
0.09279962,-0.07243703,-0.06415866,0.0037069907,-0.10979244
-0.080993205,-0.036814753,0.1128397,-0.014228784,0.016692208
0.044114474,-0.049437247,-0.025956418,0.011684828,0.043290336
-0.013785746,0.09482551,0.00030152127,-0.018470038,0.062138736
0.011510983,0.040690254,0.0175865,0.035074245,0.047337797
-0.060649373,0.008540053,0.085633405,0.02283131,-0.0014713183
-0.00851473,0.008078961,-0.009562683,0.005399259,0.0005221572
0.0326731,-0.029216573,0.058972314,0.046469666,-0.08719114
0.035577137,0.06883534,-0.020577092,-0.009893198,-0.012028553
-0.027335802,-0.07089206,0.027849827,-0.001131203,-0.018370531
-0.025752515,0.014144339,-0.06381256,-0.11610177,0.0377322
0.06069243,0.029564459,-0.00397671,0.34688777,-0.09384849
0.0843817,0.018442558,0.06915403,0.022961978,0.023663282
0.017574854,0.0181683,-0.04194382,-0.008254841,-0.014979945
-0.030564256,-0.0072192643,-0.09717691,-0.008291651,0.061841413
0.023668956,0.018689161,-0.01489477,0.016550092,-0.09011291
-0.06611339,0.11093238,0.052586965,0.029616158,0.026433405
0.03940652,-0.009328654,-0.02796124,0.015874395,0.00010176469
-0.08425173,-0.05016464,-0.013467219,-0.09611699,0.15836686
0.07023322,-0.03931664,-0.022295948,0.1271486,-0.13727269
-0.017081749,0.006795789,0.025829004,0.033406213,0.058499783
-0.058065005,-0.043505028,-0.02247939,-0.10622499,0.037128303
-0.043837376,0.0192413,0.0063846083,-0.06198125,0.24970236
0.040649306,0.040355317,0.023438724,0.029703818,-0.049088832
0.08546606,0.20809986,0.08911279,-0.62378216,-0.033622652
0.0072846888,0.12696745,0.18154386,-0.20007887,-0.009193614
0.018571155,-0.028018389,-0.06924302,0.015478592,0.060026515
-0.02940504,-0.0819733,0.025132595,0.005018346,-0.036069594
-0.0029242001,0.011863207,0.09693864,0.0013947561,-0.03653863
0.025582915,0.016892277,0.023975171,0.023123603,0.02516743
0.009060873,-0.026049225,-0.09671746,0.008922391,0.026235145
0.0030892715,0.025640652,-0.0014994517,-0.04570786,0.007634321
0.07430893,-0.009120221,-0.050770305,0.030775756,-0.07969049
-0.030002195,-0.05451352,-0.03736005,0.04629871,0.1730306
0.017826248,-0.014312507,0.0039177462,-0.006038828,0.018923089
-0.022540536,0.027332854,-0.0035564778,0.00745821,-0.08342528
-0.022245664,-0.011409672,0.069392435,-0.008401992,0.016228795
-0.029994626,-0.008375908,0.03274191,-0.0021463889,0.015692335
-0.021760909,-0.01740396,-0.038122747,-0.074207015,0.08111863
-0.029486028,-0.04284568,0.019844957,-0.03992147,-0.07508911
-0.023017747,-0.0015474856,-0.011531793,0.033655804,-0.001383476
-0.046571665,0.00041919202,-0.15860023,0.08182215,0.21368994
-0.06784181,-0.039000623,0.004246462,-0.0017633429,-0.01571291
-0.0049298294,-0.0054256283,0.04469449,0.02529832,0.012330893
0.075127624,-0.017489932,0.00011080131,-0.03200735,0.050212976
-0.065798536,0.009194361,-0.010576842,0.006511503,-0.013155539
0.09118869,-0.010350888,0.014476242,0.04017897,-0.10575892
0.015104657,0.06166877,0.028936315,-0.010818446,0.018289488
0.0028303433,-0.005707559,0.040044077,0.03139288,0.06861719
0.007242172,-0.040688083,-0.0004122462,-0.00015038066,-0.028959796
0.07974991,-0.016653707,-0.047240235,0.010164421,-0.080616266
-0.00064597884,-0.05685383,0.025953028,0.13518122,0.0071083736
0.012203368,-0.009655424,-0.023311527,0.008344569,-0.010798011
0.06307824,0.017603446,0.100191474,0.23903789,-0.14073181
-0.07530483,-0.014107648,-0.017844932,-0.106314145,-0.013264697
-0.0045016143,-0.031282604,0.007745673,0.0027509928,-0.011853689
